David Duchovny,nm0000141,The Craft: Legacy,2020,7742,4.4,tt4685762

Clint Eastwood,nm0000142,The Mule,2018,116356,7,tt7959026

Erika Eleniak,nm0000143,Boone: The Bounty Hunter,2017,2180,5.5,tt3229488

Cary Elwes,nm0000144,The Unholy,2021,418,5.5,tt9419056

Sherilyn Fenn,nm0000145,Shooting Heroin,2020,1723,5.4,tt8332454

Ralph Fiennes,nm0000146,The Dig,2021,49173,7.1,tt3661210

Colin Firth,nm0000147,The Secret Garden,2020,6249,5.5,tt2702920

Harrison Ford,nm0000148,The Call of the Wild,2020,40272,6.8,tt7504726

Jodie Foster,nm0000149,The Mauritanian,2021,14439,7.4,tt4761112

Michael J. Fox,nm0000150,See You Yesterday,2019,9470,5.2,tt8743064

Morgan Freeman,nm0000151,Coming 2 America,2021,49700,5.3,tt6802400

Richard Gere,nm0000152,The Dinner,2017,7947,4.5,tt3203620

Gina Gershon,nm0000153,Rifkin's Festival,2020,1369,6,tt8593904

Mel Gibson,nm0000154,Boss Level,2021,18325,6.9,tt7638348

Whoopi Goldberg,nm0000155,Nobody's Fool,2018,6764,4.9,tt8097306

Jeff Goldblum,nm0000156,Jurassic World: Fallen Kingdom,2018,270240,6.2,tt4881806

Linda Hamilton,nm0000157,Terminator: Dark Fate,2019,153556,6.2,tt6450804

Tom Hanks,nm0000158,Borat Subsequent Moviefilm,2020,116173,6.7,tt13143964

Teri Hatcher,nm0000159,Madness in the Method,2019,1659,5.7,tt6038042

Ethan Hawke,nm0000160,Tesla,2020,6621,5,tt5259822

Salma Hayek,nm0000161,Bliss,2021,11416,5.3,tt10333426

Anne Heche,nm0000162,The Vanished,2020,7265,5.7,tt9794630

Dustin Hoffman,nm0000163,Into the Labyrinth,2019,2156,5.6,tt8594376

Anthony Hopkins,nm0000164,The Father,2020,18828,8.3,tt10272386

Ron Howard,nm0000165,From Up on Poppy Hill,2011,36676,7.4,tt1798188

Helen Hunt,nm0000166,How It Ends,2021,174,6.1,tt13648228

Elizabeth Hurley,nm0000167,Then Came You,2020,1077,6.2,tt8367084

Samuel L. Jackson,nm0000168,The Banker,2020,20824,7.3,tt6285944

Tommy Lee Jones,nm0000169,Wander,2020,3157,4.9,tt9689696

Milla Jovovich,nm0000170,Monster Hunter,2020,30013,5.3,tt6475714

Ashley Judd,nm0000171,A Dog's Way Home,2019,15398,6.7,tt7616798

Harvey Keitel,nm0000172,Fatima,2020,1936,6.6,tt2197936

Nicole Kidman,nm0000173,The Prom,2020,22923,5.9,tt10161886

Val Kilmer,nm0000174,Paydirt,2020,776,4,tt11176322

Stephen King,nm0000175,It Chapter Two,2019,212076,6.5,tt7349950

Nastassja Kinski,nm0000176,Sugar,2013,343,5.9,tt1729615

Kevin Kline,nm0000177,Beauty and the Beast,2017,277844,7.1,tt2771200

Diane Lane,nm0000178,Zack Snyder's Justice League,2021,242474,8.2,tt12361974

Jude Law,nm0000179,The Rhythm Section,2020,13458,5.3,tt7134096

David Lean,nm0000180,Lawrence of Arabia,1962,270803,8.3,tt0056172

Heather Locklear,nm0000181,Scary Movie 5,2013,66494,3.5,tt0795461

Jennifer Lopez,nm0000182,Hustlers,2019,85900,6.3,tt5503686

George Lucas,nm0000184,Star Wars: Episode III - Revenge of the Sith,2005,719510,7.5,tt0121766

Dolph Lundgren,nm0000185,Acceleration,2019,1116,4.4,tt9534808

David Lynch,nm0000186,Lucky,2017,20125,7.4,tt5859238

Madonna,nm0000187,Arthur and the Invisibles,2006,33602,6,tt0344854

Steve Martin,nm0000188,Billy Lynn's Long Halftime Walk,2016,21301,6.2,tt2513074

Jenny McCarthy,nm0000189,A Turtle's Tale: Sammy's Adventures,2010,6963,6,tt1230204

Matthew McConaughey,nm0000190,The Gentlemen,2019,254423,7.8,tt8367814

Ewan McGregor,nm0000191,Birds of Prey,2020,177659,6.1,tt7713068

Alyssa Milano,nm0000192,You Are My Home,2020,322,6.6,tt6693156

Demi Moore,nm0000193,Songbird,2020,5646,4.6,tt12592252

Julianne Moore,nm0000194,The Glorias,2020,2248,5.4,tt7435316

Bill Murray,nm0000195,On the Rocks,2020,24030,6.5,tt9606374

Mike Myers,nm0000196,Bohemian Rhapsody,2018,460901,8,tt1727824

Jack Nicholson,nm0000197,How Do You Know,2010,47434,5.4,tt1341188

Gary Oldman,nm0000198,Crisis,2021,3276,6.1,tt9731682

