Philip Seymour Hoffman,nm0000450,The Hunger Games: Mockingjay - Part 2,2015,290432,6.6,tt1951266

Gaby Hoffmann,nm0000451,Wild,2014,121790,7.1,tt2305051

Lauren Holly,nm0000452,Tammy's Always Dying,2019,217,5.7,tt9386648

Ian Holm,nm0000453,The Hobbit: The Battle of the Five Armies,2014,479771,7.4,tt2310332

Dennis Hopper,nm0000454,The Other Side of the Wind,2018,6435,6.8,tt0069049

John Hughes,nm0000455,Ferris Bueller's Day Off,1986,324016,7.8,tt0091042

Holly Hunter,nm0000456,Incredibles 2,2018,254859,7.6,tt3606756

John Hurt,nm0000457,My Name Is Lenny,2017,2493,6.2,tt2024521

William Hurt,nm0000458,Avengers: Endgame,2019,849079,8.4,tt4154796

